competition,season,status,rows,source,reason,error
UEL,2025/26,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2025-26/el.txt
FRI,2010/11,AVAILABLE,2,ESPN:club.friendly,Observed ESPN event rows,
FRI,2011/12,UNAVAILABLE,0,ESPN:club.friendly,No observed parseable ESPN event rows,
FRI,2012/13,UNAVAILABLE,0,ESPN:club.friendly,No observed parseable ESPN event rows,
FRI,2013/14,UNAVAILABLE,0,ESPN:club.friendly,No observed parseable ESPN event rows,
FRI,2014/15,AVAILABLE,99,ESPN:club.friendly,Observed ESPN event rows,
FRI,2015/16,AVAILABLE,175,ESPN:club.friendly,Observed ESPN event rows,
FRI,2016/17,AVAILABLE,312,ESPN:club.friendly,Observed ESPN event rows,
FRI,2017/18,AVAILABLE,108,ESPN:club.friendly,Observed ESPN event rows,
FRI,2018/19,AVAILABLE,305,ESPN:club.friendly,Observed ESPN event rows,
FRI,2019/20,AVAILABLE,150,ESPN:club.friendly,Observed ESPN event rows,
FRI,2020/21,AVAILABLE,112,ESPN:club.friendly,Observed ESPN event rows,
FRI,2021/22,AVAILABLE,175,ESPN:club.friendly,Observed ESPN event rows,
FRI,2022/23,AVAILABLE,323,ESPN:club.friendly,Observed ESPN event rows,
FRI,2023/24,AVAILABLE,226,ESPN:club.friendly,Observed ESPN event rows,
FRI,2024/25,AVAILABLE,170,ESPN:club.friendly,Observed ESPN event rows,
FRI,2025/26,AVAILABLE,141,ESPN:club.friendly,Observed ESPN event rows,
